text,sentimen
sangat mahal coba murah kuat tahan lama laris manis,negatif
tuju subsidi   ngelawak jangan nanggung,negatif
rakyat cuma mau murah irit simpel gitu   kok   ngerti,positif
harga     ngotak  gimana  mau laku,positif
subsidi masyarakat tengah atas sanggup beli adil,netral
cara rakyat jamin nyaman utama bila kena air sakit kena air bungkus pakai balut anti air kabel sambunganya terminal terminal temu kabel   power wasalam,negatif
waah djoko setiowarno butuh transportasi masal bukan kasih pecut masyarakat pindah kendara kejam,negatif
coba produsen kendara utama china misal motor tahun pake kendara kyk apa banding kyk motor honda yamaha kawasaki vespa,negatif
masa motor jual masyarakat umum kecil kecil semua motor   muat orang gimana bawa anak gimana bawa barang   jalan jauh desa soak jalan sepi duduk ambyar   malam ,negatif
lagi     subsidi kok buat beli motor oke laah,negatif
baterai jual kayak gas bukan subsidi pajak bos,negatif
tukar tambah   untung masyarakat mungkin mau,positif
mahal sparepart baterenya   rusak kata mahal sekali masak iya mahal,netral
transparan subsidi y ikan info iklan via mesos tv subsidi kendara kepda masyarakat,netral
motor bebek bagus irit bandel mudah sperpartnya buat kebun kadang jalan jauh motor otr harga bawah jt soal model aneh banyak bengkel modif kok   peduli oiya karna kebun   da charger usb pake karburator injeksi   masalah apa kick starter bebek karna buat kebun lokasi gunung kadang buat angkut berat an kg lebih naik turun tanjak matic kayak leher cekik teriak sering as mesin kocak shock belakang belt ground clear pendek rawan pecah bawa berat butuh kendara harga murah banyak subsidi karna kontur jalan dl  sila  orang jakarta surabaya kota besar lai minat hubung dealer motor dekat gunung bukan orang babat hutan kebun jadi sawah sayur tebu lebih suka ternak kebun tanam tahun buah beraktifitas banyak satwa datang hibur sangat senang,negatif
gimana mau laku harga   msih mahal,positif
lebih untung guna kendara bbm subsidi bbm banyak mafia cukong jepang milik industri otomotif indonesia   bakal mau bagi untung main baru kendara milik pribumi,positif
angota dpr tau rakyat butuh bantu   kenapah korupsi terus padahal kalian hidup   enak tunjagan hidup gaji uang bensin uang pensiun sampe  kok  klu nga pecat yah,negatif
bbm cukup tar   langka baru demo negara   koleb sama bbm langka bondong bondong beli kendara,negatif
presiden     pakai,positif
larang rakyat kecil   jangkau,negatif
bacot   tu tri kepresindenan kampanye ev   datang pamer ev naik alphard,negatif
mahal aman kendara ragu tahu orang minim soal ev,negatif
model kurang masuk selera     turut,negatif
rakyat   duit   kasih subsidi subsidi   sangat tepat sasar,negatif
bgmn rakyat mau beli jabat mungkin   beli coba   pake seluruh asn beli,negatif
bukan nga minat harga   mahal,positif
bukan   mau sebenernya   pindah kendara lebih bebas emisi fasilitas kurang pada bangkit konvensional bukan energi baru spbklu kurang baterai charger universal arau motor sama kyk hp fasilitas udh jamin jamur mending perintah bangun   sarana transportasi umun kyk krl lrt lebih mudah,negatif
cas ber jam pakek cuma jam,negatif
tak laku kok tempat wara wiri terus motor sama,negatif
coba jt rame beli malah lebih mahal bensin apa   gila dg segala kurang kok minta harga mahal perintah bodoh sih turut,negatif
kata masa depan tpi keluarin masa sekarng gmna mau laku,positif
  papa tahun lalu jg handphone jg   laku   sekarang tani desa     main tik tok an inti tunggu waktu  ,positif
bukan masalah harga ntar   mati jalan solusi  gimana    bensin warung jual ecer,negatif
tar jln satu kendara laku naikin harga bbm pertalite hilang subsidi,positif
mau turunin pajak masuk indo malaysia harga motor juta   tukar uang indo indo harga motor juta   logic   indo,negatif
ev   nd car   st car mikir hrg tara   muat  orang ,positif
dulu minyak tanah tabung gas ribut lama   lama sedia mesti alih,negatif
bukan bajaj,negatif
tiap tahun sekali ganti baterai tekor,negatif
murah harga motor   subsidi baru masuk akal,positif
prasarana ribet   mau beli,positif
inti ngecas   bikin bingung rumah mau naikin brp ribu wat charging,positif
sesuai biasa lama biasa baru perlu waktu adaptasi wajar normal,negatif
buka tak laku tak cari buat dapur   makin susah motor   beli second   pribadi,negatif
lhah pasar   tentu knp muldoko luhut   repot apa ikut bisnis,negatif
paling tonjol takut orang beli tahu takut bagaimana atas cars batre habis tempat pencil tak isi daya solusi tawar unit bekal batre cadang guna jadi habis cars,negatif
kayak seandenya bagus   sih   lebih bagus   harga jt jt credit wah auto orang indo banyak punya motor roda   produksi hehe orang numpang menghayal yah,negatif
masyarakat bingung mau ngisi kendara sedia stasiun isi,positif
umur batrai batas cara daur ulang   efisien jangan sampe th depan sampah batrai malah polutan,negatif
harus lebih bagus subsidi bbm   nikmat ekonomi bawah bukan   subsidi malah orang kaya jatuh,negatif
makanya stop mau copet partai demokrat laku,positif
tempat cas   banyak sebar rata,negatif
cuma project fatamorgana liat baik pdahal sama   batu bara,positif
bom waktue indo pake kcuali   dlm kota   misale pake   malang ubud sampek banyuwangi lak yo kleleran jam nunggu dicharge mending bli ipah kd tinggal scan qr code   jln  ,negatif
bentuk kayak bajay harga kayak fortuner,positif
awas copet   ngomong,positif
buat sih motor mahal mau subsidi mahal tambah charging stationnya sedikit pake rumah kurang daya mau nambah daya repot tambah tahun depan mau pilpres   dpt calon   suka ganti bijak lama ntar beda ngomongannya mending pake     dulu wait and se,positif
  masalah manusia tolak alih kendara asal jangan salah tuhan   depan jadi banyak mati akibat cuaca panas   sangat ekstrim,negatif
tempat charger ev batas kota besar harga ev cenderung lebih mahal lcgc masyarakat lebih tarik beli lcgc solusi spbu pertamina wajib punya charger ev harga ev murah minimal sama lcgc seri bawah jual ev bakal naik,positif
anda   kredit senang hati ku pakai nambang,netral
bukan ngk laku tpi butuh proses dulu motor matik siapa suka  sekarang  semua motor hampir matik,negatif
mahal dikit pilih charging station dikit indonesia apartemen   baik   deh penting,negatif
  kuat nanjak lepe mn laku mau dijln rata,netral
gawat itu sedia minyak mentah indonesia tingkat polusi negri gala kendara benar benar serius kongkalikong petinggi petinggi negri wallahu alam,negatif
perintah teh cileupeung ain dulu station charging seluruh pelosok indonesia safety kendara banjir indonesia rawan banjir jalan buat regulasi lolos kriteria   battery sistem cabut pasang lebih cocok buat indonesia soal banyak   rumah bawah   wat quick charging kendara   support quick charging baru jual indonesia ngecas lama dipake sebentar gimana   mau keluar kota was idiot malah jual   diutamain bukan infrastructure dulu dipikirin mentang masyarakat pinter     perintah   ngotak pake bensin   jalan amburadul desa pelosok jauh   mikirnya mau meng electric semua kendara jalan mau lari mimpi,negatif
ev bombom car kasi tukang knalpot   dpt kerja,negatif
sulit si aplgi   tingal kota kecil lebih tarik hybrid krna msih mengunakan bbm   beli dmna   ketimbng cas lama penuh jrak pakai   smpai km,negatif
rakyat butuh jalan halus jon,negatif
misal indonesia kasih bonus panel surya atas mungkin unggul panel surya kualitas indonesia musim,positif
harga ev bawah biasa baru beda halah demokrat,negatif
bicara krndaraan otomatis tringat   mna nnt padahal pln   megang bangkit besar     notabene rata   batubara  sekarang  pegang anak usaha bicara batu bara jg erat polusi lantas   mana supply butuh nnt bangkit pengahasil daya besar jg   byk   bangun sedgkan negara tekan   zero emisi   sumber   bangkit batubara sendiri lantas titik temu  lihat  solusi situ peyuluhan ttg kendara sulit masyarakat   bel  sekarang  knp kunjung byk spklu buat td   mana supplynya spklu bukan enak sembarang buat bangkit    tahun  belakang sama nambah cuma sdgkan siap   charging cepat tara rumah golong r kecil rumah gol r let s thinking,negatif
  paling utama transportasi umum busway desa desa antar kabupaten bukan malah kendara,negatif
gampang to tinggal gx usah import bbm beres,negatif
rakyat bukan orang tolol dungu bodoh   pernah punya motor amit kapok   bakal beli   kendara turun   elo mw tipu  sila  beli wakwakwakwakwak,negatif
  jelas mobel bbm bayak kalu kuragan mihkin ganti gitu jagn prodoksi   inti y motor kuragin prodoksi inti y git,negatif
mahal,positif
jalan dulu   dibenerin trus bengkel khusus kendara   tau dimna isi lom rata nnti pas mudik habis ginna,negatif
jangan turut motor   jual lebih murah cuma kalang tentu motor subsidi lebih laris soal banyak kalang bawah jumlah atas,negatif
bangun dulu fasilitas charging tukar baterai rata   terap khusus duduk kota ev pakai konvensional,negatif
siapa   mau anjur jokowi awat terlalu tinggi muldoko dia garong partai,positif
makanya percuma kasih subsidi harga mending duit subsidi buat ngebangun stasiun charging banyak banyak gratis dulu tarik minat masyarakat makin banyak stasiun charging makin murah masyarakat tarik lebih pilih kendara,positif
atas jalan tiap tahun ubah jadi kayak sungai kering,negatif
ngantri bbm menit   asa lama bget apa     charge,negatif
busuk sampah sampah sekali ledak batrenya hancur lo hancur   ikut orang,negatif
mahal banyak gaya banyak mafia,negatif
  bengkak tu,negatif
lebih ribet kaya   ev,negatif
  puyeng muldoko luhut   main utama indonesia,negatif
ini   harap negara raksasa hasil minyak bumi indonesia blm siap mandiri negara besar takut indonesia mandiri krna pasar besar indonesia perintah dukung harus pom   sedia tempat isi batre market karna salah satu utama msyarakat enggan alih knderaan krna sulit isi batre ganti batre,negatif
  mudeng carane ngecharge bro nang ndeso   ono spbu,negatif
inti mahal murah beli mayoritas  orang  wait and se,positif
baterai abc   murah masak mahal,negatif
  masyarakat beli brarti butuh lebih penting fikirnya   punya kendara buat apa beli kendara kendara kebel butuh pokok kurang kalo paksa alih kendara konfensional convert,negatif
oke fosil fuel kurang tagih bengkak akibat upgrade kwh kwh bahal bulan batre soak harga main,negatif
bukan tak mau mahal padahal  ,positif
tempat isi ulang baterai paya buat dulu tempat isi ulang batrainya,negatif
faktor utama jauh lebih mahal,negatif
sepeda dong subsidi mau,positif
stop produksi sepeda motor konvensiona bensin laku motor,netral
inti teknologi coba coba makanya   laku coba coba harga mahal,positif
perintah tolol    lihat  kondisi lapang,positif
 orang   orang  mending beli sepeda   rental bocah jauh lebih untung,negatif
jane yo   tuku   gawe madang wae jeh keponthal ponthal kx,netral
jt umur  tahun  blm prnah punya tabung jt gaji sbln jt sih ,positif
akibat niat cuma pamer citra salah subsidi   tepat,negatif
wuling ev   juta harga juta laku sukses,positif
gampang tiap brand kasih target jual   capai kena pajak bina gitu  ,negatif
ibarat ngasi saran   ngasi solis  lihat  belah mata tempat charging   mas susah pom bensin tempat charging mungkin bakal naik   beli,negatif
waktu uang buang buang waktu,negatif
loh kurang laku masyarakat bukan krna moblis siapa kelola   punya jd  malas  beli disampung tekhnis,negatif
ngotot banget jual barang cina,negatif
bilang rakyat   minat wuling air ev ioniq lebih tesla pura bego goblok nanya   minat,positif
masyarakat ekonomi tengah bawah mau beli kendara penuh pertamina seluruh indonesia sedia tempat isi daya kendara harga baterai motor gerak tempat biasa sebut dinamo jangkau murah,negatif
jabat negara punya ide bijak rakyat pasti ulang hutangtriuliunditanggunganakcucurakyat,positif
kasih motor racunin masyarakat sini,positif
benar simpel masyarakat resah pajak isi laku rumah cas khusus isi tara spbu tiap pelosok sedia sperpat service jelas produk jual masyarakat sangat teliti brand toyota honda dl banyak brand merek tahu masyarakat takun semua produk cina skema jamin perintah atur,negatif
tuju   perintah,negatif
lihat   harga   lebih murah   konvensional rasa rugi pakai bengkel susah desa jalan dukung,positif
bentuk aneh besut wuling audi   keren,positif
mahal   sesuai ingin rakyat,positif
alhamdulilah dulu kalah sama kendara bensin   lebih modern sejarah jg dulu selalu kalah,positif
jarak kurang jauh cas lama eddah charger station   banyak,negatif
harga batre   sangat mahal,positif
lokasi cas   mas blm tunjang harga mahal dealer blm bnyk   kredit,positif
 tahun  depan mungkin baru mulai laku,netral
makan   susah apalgi mau beli mank hrga murah,positif
mending subsidi transportasi publik bangun transportasi umum bikin macet,netral
perintah fokus jual motor lupa transportasi umum jalan tambah macet boros ruas jalan akibat bbm buang jalan,negatif
banyak pakai batrei semua rata soak durasi pakai batas,negatif
atur subsidi motor sangat lucu dapat subsidi buat orang miskin   pernah mrnerima sedang terima bantu perintah subsidi laku orang     pernah terima bantu perintah makanya   laku untung pabrik rakit motor negara china,negatif
rakyat miskin   mampu beli mikir mikir,negatif
kta demokrat punya   moel,positif
ikut tambah   mungkin perlu pantau perihal   coba terap kendara umum lebih   coba kenal dini masyarakat luas   perlu tambah sistem dingin   efisien baterai tanggulang suhu panas pakai suhu panas el nino sistem dingin baterai sangat pasti ledak   perlu tambah ruang simpan baterai   aman banjir hasil hujan deras tahan daya bentur keras tanjak   perlu teliti internal upgrade tingkat daya simpan baterai tuju konsumen puas lama daya pakai baterai   akhir lama masalah banjir air hujan beres kecil mungkin terima masyarakat luas   nb baik terap angkut umum daerah   darat lebih tinggi laut,negatif
indonesia   pas hybrida,positif
subsidi bohong rakyat,negatif
  rasa kelas ekonomi kelas ekonomi tengah bawah jangan nyalahin perintah mulu lebih intropeksi diri dulu hidup susah faktor utama diri sendiri bukan perintah kurang harga waktu rajin niat usaha   rubah nasib terlalu serah tuhan bareng kerja keras kerja cerdas hasil tetap miskin akhir terlalu mudah menyalahin perintah lampias miskin ingat peran utama rubah hidup arah   lebih baik buruk diri sendiri,negatif
mau bikin erp mending cicil bayar wuling ev china cuma   sampe juta sini jt tdnya mau beli   temen blg bgitu kok jd brasa goblok     beli up mahal,negatif
banyak jalan sempit makin macet,negatif
 tetap    tarik   motor sb kuno wagu sangat   relevan  lebih  baik konvesional motor konvesional sb  lebih  nyata kekuatanya  lebih  baik produk   jabat   masyarakat indonesia  tetap    biasa     usah neko klau minyak hbs pakek sepeda kuda sapi  lebih  simple hy milik moldoko sm luhut buat apa dukung,positif
harga mahal batre masa pakai n mahal jg bahan baku batre jg masa mau aman kuda   benar ramah lingkung,positif
sepi bukan arti laku judul aza cari sensasi,negatif
masalah cuma jarak tempuh lama charging,negatif
coba review tipe tengah tengah air ev ioniq padahal tau tipe tengah kuasa jual data no,positif
subsidi beri bunga kredit naik jg kaum mending sma jg bodong mending ken,netral
ganti cel batrai mahal sampe ratus juta,positif
anjg maksa kontol kontol,negatif
nama baru tahap kembang,positif
sulit teknologi baterai murah harga baterai   harga bekas buat apa sekarang kata hemat putar banding harga kwh bbm harga ev golong sangat mahal belakang nang buat maintenence baterai motor rusak ujung lebih mahal bbm dua jarak tempuh min km buat mudik lebaran karna lebaran penting ekonomi negara karna cepat putar uang tiga jalan aspal negara jauh standar mobilisasi kendara ev empat susut nilai kendara ev lampau cepat karna elektronik masa pakai lifetime sangat jauh lebih pendek banding mesin mekanikal bbm banding kurang ev jelas untung jangka panjang karna teknologi baru mahal mungkin hasil alih kendara ev jadi masalah karna monopoli mungkin tarif per kwh murah cerita semua alih kendara ev sistem monopoli tak cerita indah tarif per kwh murah tarif kwh naik hindar bangkit green energy energi angin dapat gratis energi panas dingin dapat gratis apa butuh ni nilai investasi sangat besar ujung segera mungkin balik modal pengaruh bijak tarif dasar kwh mungkin kuasa teknologi pltn anak tamiya tahun an lebih paham harga part tamiya tahun kendara hybrid lebih baik tunggu untung apa dapat ev banding kendara bbm,negatif
buat makan   lancar udh alhmdulilah,positif
  banyak pilih jd   tarik,netral
sapras sdm muahal,netral
benar tuju perintah maksimal hasil tambang negara sendiri konsumsi negara sendiri ambil negara ambil harga murah jual harga tinggi,negatif
tar   ngumpulin buat dp nunggu   lunas dulu,positif
anak anak,negatif
  harap harap sejahtera makan hari,netral
lagi perintah udh tau indonesia jalan makin macet gage ekonomi makin merosot malah impor indonesia siyaap indonesia motuba banyak bagus awat hadeeh apbn negara   impor kendara,negatif
dorong yamaha honda segera keluar motor baru boom motor sekarang   cina cina an blm tarik banyak konsumen indonesia,negatif
menurt rakyat biasa susah jangkau rakyat biasa tengah bawah karna susah carger rumah karna sbagian besar rayat mnengah bawah banyak pake wat jglek,negatif
kadang bingung mang ev sangat ngaruh buat rangin emisi karbon panas global kok solusi   wajib sangat dukung mayoritas  orang  pake ev otomatis minta meninggkat sedang mayoritas bangkit bahan batu bara bukan jadi sama  ,positif
  subsidi mahal siapa   mau beli imut muat kecil biaya awat besar sparepart mahal   subsidi  tetap  mahal charging stationnya cuma pulau jawa daerah sulit,positif
baca berita kompas bayi bulan jakarta alami gejala batuk pilek sesak nafas   kualitas udara jakarta   buruk bahaya resiko kanker   intai anak anak ingat waktu pandemi kemarin kerja   rumah kualitas udara jakarta jadi sangat baik   banyak   lalu lalang mayoritas   lalu lalang ev tentu si bayi   perlu derita semua jangan lupa pakai masker pergi,negatif
coba wajib dulu seluruh karyawan pln guna tengok gimana respon orang,positif
perintah   fokus turun harga sembako bahan bangun butuh pokok lain kok malah urus butuh     penting bukan butuh hajat hidup orang banyak,negatif
siapa   bl motor lm jual besi bekas harga besi rongsok,positif
  cocok buat desa   jala tanah batu,positif
bukan   mau   beli,netral
mahal mahal colok rumah naik daya,positif
subsidi kurang pas syarat susah,negatif
banyak guna masyarakat kaya butuh bbm turun jauh subsidi bbm alih masyarakat kurang mampu,negatif
    pikirin   mogok pinggir hutan mo cari batre ecer susah,negatif
ngomong belepotan,netral
mahal,positif
nampak sngat tpu indon kereta malaysia laku   cepat tempat cas kereta bnyak malaysia kawasan   kebnyak kereta,negatif
model jelek kecil,negatif
arti   bukan era bodoh rakyat kuasa   gaptek rakus kendara bas batterai sampah radioaktive nuklir   legal tak lebih baik fosil fuel   jauh lebih rusak bumi tambang   makin uras lahan ekosistem tunjang hidup seluruh makhluk   bumi masuk kalian semua hai manusia bahan bakar biodiesel hydrogen methanol   ramah lingkung kembang indonesia bukan malah batterai banyakin,negatif
 jangan  kasih subsidi,negatif
subsidi pupuk pangkas subsidi pangkas subsidi bbm pangkas subsidi pupuk pangkas alasanya beban uang negara pas minta subsidi besar besar padahal subsidi   pangkas rakyat subsidi kalang atas darisini paham mana wong cilik otak mana otak,negatif
kaum kadal gurun komenis otak sonsang rupa rupa  ,positif
  berani pusing mikirin   tengah jalan habis batre mau charge   sisa   tau pergi   pulang,negatif
benar benar zero emisi       beli,negatif
inti benar tidah mudah rubah habit konsumen adlh hak konsumen rubah habit biasa konsumen bth jangka waktu   ckp lama banyak faktor   pengaruh trutama   daya produk sendiri trmsk suku cadang pelihara dl hampir sangkut   jamin produk sendiri   untung rugi konsumen perlu juang panjang plin   th mngkin lebih tx,negatif
bukan laku gaji indonesia butuh tahun mendapatkanya beda gaji luar negeri pandang keringat jerih payah orang benar indonesia buat makan hari   untung,negatif
cenderung paksa bgmn rakyat   pikir   alih kendara wong subsidi harga mahal jarak tempuh jauh bbm daya angkut batas biaya servis mahal msh blm banyak bengkel luar resmi   mampu servis blm pasang charger port sesuai daya rumah   dibwh jt   include pasang charger port mungkin masyarakat alih dg segera,positif
mau banget mahal coba jual juta laris,positif
mau gimana yuk ketawa yuk,positif
  klw   uji masyarakat,positif
sekarang ekonomi lesu   pikir beli harga mahal,negatif
insfrastruktur kendara bangun hingga desa desa kendara raja jalan,netral
kasih gratis laris manis,positif
subsidi syarat motor subsidi banyak syarat mikir,negatif
luar negri   laku indonesia laku,netral
coba sajaobil bebas pajak tahun mungkin  orang  bakal tarik jg dukung station charger   byk jg harga   sahabat uji coba   thm pertama,positif
tanya tanya kepala staf presiden ngurusin tonton video milik dealer kendara siapa   paham,positif
saat bbm habis mau lari,positif
harga mahal ngecasnya kualitas jamin   jalan berapa lama apa   mogok jalan,negatif
  ingin rakyat sejahtera   rata lapang kerja   banyak sembako jangkau,positif
asik   sangat murah baru beli,positif
harga murah juta suku cadang mudah pabrik baterai subsidi hrg bartey motor kualitas tinggi,positif
cariin solusi jalan jauh jarak   pengisiian daya apa kalimantan   jarak ribu kilo meter,negatif
masyarakat indonesia mau beli ancam negara negara arab jual minyak mentah klaim pegang kunci sorga,positif
sangat senang   berita banyak main cukong rezim banyak   rugi,negatif
y ilah   laku harga air ev jt kecil cuma   beli   xpander avanza kec air ev harga jt,negatif
rakyat mau merek kenal honda suzuki jelasx baik merek baru siapa   mau beli mau motor terbang blm,positif
pribadi subsidi aneh,netral
model kurang tarik coba robah model bikin kya avanza,positif
esempak makin terbang langit be like it produkpolitik,positif
rakyat mau iritbbm ltr km ltr pajak murah sparepart limpah muat bnyak,positif
elon mask udh menjangkakn,netral
paksa rakyat kecil nama paksa hendak rakyat korban penting investor aseng,negatif
tiket kereta murah lebih enak naik kereta perlu usaha kemudi maklum   sanggup bayar driver,negatif
luhut muldoko   fikirin bangkrut    ,negatif
kendara blunder,netral
spbu   tambah fasilitas buat charging   usa mikir lahan tinggal instalasi,negatif
laku kota besar karna daya mengeces kendara blum sluruhnya indonesia pom   daya jangkau beli jangkau kalang tengah bawah,positif
bingung ngecasnya bos,positif
jangan mau beli bayar   ngos ngosan,negatif
siapa mau beli mahal ujub duit nyetak,positif
      infrastruktur charger minim,negatif
kendara umum utama   masyarakat mampu suruh beli   penting didik   anak generasi muda kuasa iptek,negatif
indah dulu sering kendara naik kereta kuda,positif
ev   praktis luar kota mau cas hotel apa mau,positif
mau ev laku naik harga jual bensin diesel atas harga,positif
kasih pajak paja jamin laku,negatif
perlu rakyat bukan cuma kota pakai blusukan daerah   jala rusak turun naik lumpur banjir situ masyarakat percaya,negatif
rakyat pintar tahu berapa sih benar modal motor erti harga jual indonesia mark up gila gila kemudian rakyat tahu harga jual motor bekas jatuh banget komponen mahal baterai soak rakyat sekarang semua pakai smartphone tahu dong lama lama daya pakai handphone sama ngedrop baterai soak sering charge handphone masyarakat   bodoh mau bilang   pakai energi fosil lha indonesia mayoritas asal batubara alias energi fosil cuma pindah beban polusi bakar energi fosil bangkit rakyat kecil butuh uang usaha lowong kerja bukan kendara dapat per kapita kecil perintah sadar   mungkin maksa rakyat kecil dapat bawah dapat per kapita punya buat apa punya atau motor sulit kasih makan anak istri,negatif
jt dapet karuan beli grandmax muat banyak harga murah bbm irit,positif
gimana mau laku orang cuma jual eco friendly   praktis muat kecil harga   masuk akal cuma baterai   harga x lipat harga pakai mesin rumit ribet pakai jual harga bawah jt baru laku wuling harga paling masuk akal mentok jt wuling,negatif
biar buat orang kaya karna bahkan bila guna bbm pindah moblis jamin pln kewalahan rumah tekor byar pet karna habis buat nge charge moblis tak sisa buat kulkas rice cooker ac kompor henti halusinasi ubah bbm moblis lebih,negatif
masalah orang enggan beli harga mahal isi ngecas ribet makan banyak daya tenaga banding non sangat bahaya mudah bakar rusak,negatif
nyari duit melulu perintah     mau   produk china jelek,negatif
teknologi teknologi sampah embel kurang emisi cuih mana emisi kurang guna   signifikan orang duit   beli rakyat kecil korbanin,negatif
apa diesel top cumi darat hahahaha,netral
mahal lama chas rumah   jangan harap laku orang sekarang   mau   bikin kapitalisme coba nokia xiomi awal bisnis laku keras contoh,positif
  sini kek maenan semua   tipe   al around harga bangsat  banget ,negatif
  utility   kota antar jemput sekolah pasar kalah fungsionalitas sama honda beat,positif
indonesia nama subsidi harga bawa jt laku harga bawah jt usaha untung,positif
semua hanya main v,negatif
terlalu mahal batrenya,negatif
mau beli mitor   rumah   kuat terus mau ngecas mana,positif
narasi oposisi mulu ni channel,negatif
stasiun charging kurang banyak desa malah  ,negatif
regone kendara e ki lo,netral
model harga jangkau pos isi daya angkut kualitas tahan batrey lama ubah baik avanza jaz dl ayla brio dl biaya mahal perlahan masyarakat alih klu mau maju bensin ubah biaya murah,positif
lihat tahun depan   bagus fasilitas dukung arti hasil   fasilitas dukung blm rata arti proyek tak hasil,positif
mahal cas bom rata jarang lokasi umum model onderdil susah  ,negatif
harga mahal coba bikin ukur suv ev harga tara avanza xenia xpander laku harga segitu,positif
mau laku diskon harga air ev jd jtan laku deh klw  jangan  cuma diskon ppn     pajak lain klw nol spy harga mirip harga china sana,negatif
jangan samain tak tak sama kendara bbm kendara,netral
ora payu bro dagang,negatif
sih tuju banget ada ev   perintah mulai paling   korupsi ikut turun   sering mark up nota bensin perintah bakal kurang hasil bayar isi otomatis bayar negara pln ayo tunjukin serius perintah ajak masyarakat   alih ev mesti perintah duluan pertama ganti semua kendara dinas plat merah seluruh negeri kendara   bbm kitin aza ntar mau   mau infrastruktur spt spklu bakal nambah banyak seluruh negeri otomatis jabat negara bakal ngusahain spklu nambah banyak   ngajak keluarga jalan pake dinas ev ayo gassken,netral
tempat cas sedia dulu,negatif
sekarang orang butuh fungsi bukan gengsi harga juta kursi minim space harga baterai mahal mending ambil bensin muat rame   khawatir ganti baterai,negatif
wah wah wah main bloc news barat nih coba   ev negarq barat anak news barat apa kata,negatif
rakyat kecil siap siaga setor pajak sokong kalian orang kaya usaha jabat cinta,negatif
gaji dpr dprd dpd alihfungiskan ngomong rakyat biasa   cuma ngomong,negatif
rakyat     murah,positif
mahal bro contoh wuling ev negara   jt an indonesia jt an,positif
pemeerintah tau banyak daerah banjir kok malah dukun kendara,negatif
mikir jual   bbm ndk kurang   mau berfikir proses harus py plan proses,negatif
emanya kerja gaji juta beli   serius motor   subsidi rakyat jelata mana beli baut makan   kurang bom kontra sekolah anak tambah harga naik semua perintah nyata pihak sama orang kaya  ,negatif
sekalipun hemat baterai motor rusak semua hemat sia bahkan harga baterai lebih mahal total hemat lama pakai hargabeli awal lebih mahal biay maintenance lebih mahal banding turbo rawat mesin mesin bensin motor baterai,negatif
benar kata anies ,negatif
moga masyarakat indonesia banyak rejekinya mudah beli erti baik buruk coba,positif
wong rumah   cuman   beli boil apa   jeplak meter subsidi subsidi kendara umum,netral
kendara masa depan   laku kurang promosi tv indonesia,negatif
ilangin dulu pajak beli sm pajak masuk indo rame beli   mulai rame baru mulai adain pajak pelan,negatif
infrastruktur kurang mumpuni   dipake jarak jauh   jalan tol mau ngecas   dar dipake buat kerja kota masuk akal jarak jauh bayang infrastruktur butuh stasiun isi umum berapa waktu   habis charge pakai jalan arti siap lahan isi sangat luas invest lahan isi luas taruh besar   demand sedikit pakai antar kota jalan jauh lingkar setan bahkan gera kota kota padat jakarta mungkin banyak orang pilih guna kendara umum banding kendara pribadi spt pribadi,negatif
setor msh kalah jauh sm kubu minyak bumi,negatif
mungkin tak laku indonesia industri ev malaysia makin terima ramai makin kembang,positif
bukan   laku   blm banyak tempat charging ribed ajah habis baterai,negatif
subsidi n motor listri akal rezim  ,netral
mau masyarakat dp bukan dp ringan ccl besar,positif
jangan subsidi arah beli bagi besar rakyat indonesia banyak bingung cari nafkah penuh butuh hidup harga butuh pokok makin hari makin mahal,negatif
salah prioritas kendara pakai dulu kendara umum macam bis nyuruh sipil biasa beli ev harga   masuk akal mana realisasi masa harga ev ukur bajaj macam wuling jt    benar    gede calya avanza harga   sampe segitu aneh perintah indo   ngerti nasib ingin rakyat indo sendiri gimana banyak main kalang jabat sih ngiranya semua rakyat gaji macam jabat,negatif
buka   laku   punya duit poko kendara an maju orang orang indonesia ngerasain dampak ekonomi semangat indonesia maju,netral
masyarakat sensi wuling cino,negatif
sejahtera dulu tani ternak sudsidi pupuk pakan ternak teliti tani ternak lebih manfaat rakyat,positif
    masalah kendara lembap ubah suhu bnyk kendara   sering konslet bukan   design tpi   lembap umur baterainy mudah skali   lama   ubah lingkung gedung   ups taroh ruang suhu dingin bersih buat jaga usia baterai komponen lain,negatif
biasa tar jg paksa,negatif
aga bego sih jokowi pke subsidi,netral
bukan laku produk baru perlu proses dukung infrastruktur proper aftersales andal yakin sang makan cabe pas gigit langsung asa pedas,positif
jalan umum masyarakt dibperbaiki lancat tak berlobag lagidi nkri,positif
kerja kerja kerja kira rakyat banyaj duit,positif
cnbc lama persis metrotipu   deh berita opini balik ala kampret apa pesan capres,negatif
masyarakat   butuh pribadi baik transportasi   sedia  lebih  convenient hongkong singapore,netral
sharusnya   bahan bakar minyak kurang banyak   lari tenaga,negatif
bisnis orang perintah coba klu buat bis adan angkut umum,positif
  butuh masyarakat kecil bukan butuh lowong pekerjan,negatif
seperti jelas butuh masyarakat indonesia akses transportasi publik rata,negatif
benar   beli subsidi terlalu lama antri,negatif
suatu mau   mau laku   bahan bakar fosil makin langka,negatif
alhamdulillah  moga  allah hancur akal bulus si rejim jokowi,positif
    jtan tak beli,negatif
promo ev harga langit   tadi mau beli   malah mikir pilih second,positif
begini bkn   laku   harga   model   laku     memilki fasilitas umum,positif
onderdil mahal baterai dl jangkau,negatif
fasilitas banyak blm dukung alasanya,positif
